pno,pno_cn,pno_desc,label
A4702-B02-1234,高斯玩具,Plastic 765,玩具類
A4705-C03-1234,陶瓷,Fabric 123,陶瓷類
A4705-B02-1234,塑料,Ceramic 876,塑料類
A4701-D04-1234,高斯玩具,Plastic 765,玩具類
A4705-D04-1234,不銹鋼,鋼鐵TC222,鐵類
A4705-000-1234,不織布,不織布TN001,布類
A4701-A01-1234,不銹鋼,鋼鐵TC222,鐵類
A4701-B02-1234,陶瓷,Fabric 123,陶瓷類
A4704-000-1234,陶瓷,Fabric 123,陶瓷類
A4702-C03-1234,不銹鋼,鋼鐵TC222,鐵類
A4705-000-1234,不銹鋼,鋼鐵TC222,鐵類
A4704-D04-1234,塑料,Ceramic 876,塑料類
A4701-000-1234,不織布,不織布TN001,布類
A4704-D04-1234,不銹鋼,鋼鐵TC222,鐵類
A4703-000-1234,塑料,Ceramic 876,塑料類
A4703-B02-1234,陶瓷,Fabric 123,陶瓷類
A4703-000-1234,陶瓷,Fabric 123,陶瓷類
A4701-000-1234,陶瓷,Fabric 123,陶瓷類
A4701-B02-1234,陶瓷,Fabric 123,陶瓷類
A4704-C03-1234,高斯玩具,Plastic 765,玩具類
